timestamp,user,action,cpu,memory
1786001894.674922,Charlie,Purchase,64.23,25.15
1786001894.674927,Bob,Login,23.11,20.51
1786001894.674933,Alice,Search,38.68,45.83
1786001894.6749358,Emma,View,85.53,41.11
1786001894.674939,Emma,Login,61.18,34.76
1786001894.6749415,Alice,Search,52.39,69.09
1786001894.674944,Alice,Purchase,66.9,70.81
1786001894.6749465,Charlie,Logout,28.98,21.08
1786001894.6749523,David,Login,55.92,62.96
1786001894.6749547,Emma,Search,72.03,65.95
1786001894.674958,Bob,View,89.27,47.19
1786001894.6749606,Emma,Purchase,24.09,32.01
1786001894.6749635,Emma,Login,64.74,23.45
1786001894.674966,David,Login,62.21,46.26
1786001894.6749687,Charlie,Search,51.28,91.78
1786001894.6749713,David,Purchase,10.73,91.96
1786001894.674974,Bob,View,12.27,90.62
1786001894.6749766,Bob,Search,19.27,37.92
1786001894.674979,Emma,Logout,28.49,35.08
1786001894.6749837,Bob,Login,45.48,74.15
1786001894.6749868,Bob,View,27.49,53.52
1786001894.67499,David,Search,24.16,84.6
1786001894.6749928,Emma,Search,46.92,47.96
1786001894.6750004,Charlie,Search,43.01,61.23
1786001894.6750028,Alice,Purchase,33.94,64.72
1786001894.675326,Alice,Search,49.36,78.36
1786001894.6753337,David,Logout,86.33,29.57
1786001894.6753364,David,View,31.36,87.4
1786001894.6753392,Bob,Search,62.17,51.73
1786001894.675342,David,View,49.35,79.03
1786001894.6753447,Emma,Purchase,22.73,83.29
1786001894.675347,David,Purchase,17.59,51.07
1786001894.67535,Alice,View,19.79,88.78
1786001894.6753526,Bob,View,37.96,58.11
1786001894.6753554,Emma,Search,39.45,32.53
1786001894.675358,Bob,View,28.51,88.27
1786001894.675362,Alice,Purchase,25.49,45.62
1786001894.6753662,David,Login,25.88,36.61
1786001894.6753702,Alice,View,39.72,94.49
1786001894.675376,David,Logout,45.11,20.82
1786001894.6753838,David,Login,63.41,87.46
1786001894.675387,David,Login,61.71,33.84
1786001894.6753898,Charlie,Purchase,42.26,46.14
1786001894.6753922,Alice,View,56.22,74.0
1786001894.675395,Emma,Purchase,51.4,78.35
1786001894.675398,David,Purchase,27.98,87.63
1786001894.6754012,Alice,Search,31.55,82.13
1786001894.675404,Alice,Purchase,40.75,76.57
1786001894.675407,Bob,Login,38.92,69.57
1786001894.6754093,Alice,Purchase,14.52,90.44
1786001894.6754122,Bob,Logout,88.63,35.07
1786001894.6754174,David,Logout,61.88,73.97
1786001894.67542,Alice,Logout,66.12,20.78
1786001894.6754227,Alice,Logout,66.91,87.14
1786001894.6754253,Charlie,Login,48.35,43.74
1786001894.6754282,David,View,40.66,32.17
1786001894.6754303,Emma,Search,10.65,86.88
1786001894.675433,Charlie,Logout,73.0,63.11
1786001894.675436,Alice,Logout,13.68,88.17
1786001894.6754391,Emma,Login,65.98,34.74
1786001894.6754417,Charlie,Search,29.24,47.47
1786001894.6754444,Bob,Search,29.21,31.55
1786001894.675447,Alice,Search,79.52,85.64
1786001894.6754496,David,Login,83.46,88.58
1786001894.6754522,David,Login,19.4,54.88
1786001894.6754563,Charlie,View,82.81,46.03
1786001894.6754596,Alice,Purchase,12.94,60.46
1786001894.6754625,Alice,Login,71.67,43.2
1786001894.675465,Emma,View,82.06,54.62
1786001894.6754682,David,Login,66.92,54.16
1786001894.6754708,Charlie,Search,74.86,35.32
1786001894.6754737,David,Login,82.37,55.05
1786001894.6754763,Emma,Login,46.72,83.28
1786001894.6754787,Charlie,View,14.78,71.37
1786001894.6754816,Bob,Purchase,55.76,55.94
1786001894.6754842,Bob,Purchase,71.12,26.04
1786001894.6754873,Charlie,View,65.16,46.34
1786001894.67549,Alice,Login,27.48,27.28
1786001894.675492,Charlie,Logout,26.59,39.66
1786001894.675495,David,Login,70.89,26.7
1786001894.6754978,Bob,View,31.48,84.36
1786001894.6755004,Emma,Logout,12.72,45.2
1786001894.6755044,Emma,Logout,23.51,81.56
1786001894.675508,Bob,Login,70.29,48.23
1786001894.6755106,David,Login,86.06,82.64
1786001894.675513,David,Purchase,82.91,49.3
1786001894.675516,Emma,Logout,12.38,53.63
1786001894.6755185,Bob,Purchase,79.58,76.71
1786001894.6755211,Emma,Search,39.7,21.57
1786001894.6755247,Emma,Search,33.05,73.26
1786001894.675528,David,View,89.81,48.89
1786001894.6755304,David,Search,35.19,57.94
1786001894.675533,Bob,Search,33.33,69.17
1786001894.6755357,Bob,View,69.35,56.65
1786001894.675538,Bob,View,41.03,89.9
1786001894.6755404,Emma,Purchase,85.43,59.13
1786001894.6755433,Emma,Login,83.51,69.17
1786001894.6755462,Alice,Purchase,50.76,35.02
1786001894.6755486,Emma,View,46.54,41.13
1786001894.6755512,Charlie,Logout,69.37,70.9
1786001894.675554,Emma,Login,67.25,83.73
1786001894.6755567,David,Search,86.73,29.32
1786001894.6755595,Bob,Login,54.14,54.27
1786001894.675562,Alice,Search,24.97,45.48
1786001894.6755662,Emma,Search,52.73,54.67
1786001894.675569,Bob,Logout,60.65,84.78
1786001894.675572,Alice,Login,54.83,25.02
1786001894.6755745,Charlie,Logout,78.6,49.68
1786001894.6755788,Charlie,Login,15.23,26.66
1786001894.6755817,Charlie,Search,36.35,87.23
1786001894.6755846,Bob,Login,11.99,29.01
1786001894.6755867,David,Login,76.91,72.91
1786001894.6755893,Bob,View,39.19,82.55
1786001894.6755922,David,Logout,79.46,25.08
1786001894.6755967,David,Purchase,29.3,21.96
1786001894.6755998,Bob,Purchase,31.75,85.33
1786001894.6756024,David,Search,25.75,38.23
1786001894.6756053,Emma,View,33.86,44.82
1786001894.6756084,Bob,Purchase,62.92,66.94
1786001894.6756108,David,Login,19.65,48.17
1786001894.6756136,David,Purchase,30.77,25.19
1786001894.675617,Bob,Purchase,13.25,55.01
1786001894.6756196,Emma,Purchase,63.2,29.75
1786001894.6756222,Charlie,Login,12.21,73.78
1786001894.6756248,Emma,Search,55.95,47.93
1786001894.6756277,Bob,View,44.67,37.8
1786001894.6756308,Emma,Logout,76.77,62.34
1786001894.6756334,Bob,Search,60.82,88.57
1786001894.6756363,Bob,Purchase,87.82,71.84
1786001894.6756387,David,Login,15.79,50.0
1786001894.675642,Emma,Login,26.2,72.29
1786001894.6756449,Charlie,Login,49.31,87.28
1786001894.6756482,Alice,View,11.33,92.57
1786001894.6756508,Charlie,Logout,80.24,62.08
1786001894.6756535,Bob,Logout,63.36,47.91
1786001894.6756558,Alice,Purchase,35.91,75.11
1786001894.6756585,Alice,View,73.77,85.17
1786001894.675661,Bob,View,12.57,23.86
1786001894.6756642,Bob,Logout,43.88,82.09
1786001894.6756666,Bob,Search,32.5,92.9
1786001894.6756694,David,View,38.86,43.88
1786001894.6756718,Charlie,Search,75.9,36.29
1786001894.6756747,Emma,Login,57.8,54.17
1786001894.6756773,David,Login,44.28,68.57
1786001894.6756797,Charlie,Login,50.47,59.52
1786001894.6756825,Emma,Search,50.92,38.91
1786001894.6756873,Bob,Search,49.98,55.98
1786001894.67569,David,View,52.15,62.49
1786001894.6756926,Charlie,Login,52.84,43.93
1786001894.6756954,Alice,Search,12.26,40.17
1786001894.6756988,Alice,Purchase,25.96,69.9
1786001894.6757033,Emma,View,70.49,28.42
1786001894.6757061,Emma,Purchase,81.89,35.34
1786001894.675709,Alice,Logout,11.66,74.64
1786001894.6757114,Charlie,Purchase,42.19,60.08
1786001894.675714,Charlie,Purchase,40.02,54.99
1786001894.6757169,Bob,Logout,57.09,49.57
1786001894.6757195,David,Purchase,13.96,75.6
1786001894.675722,Alice,Purchase,82.65,32.91
1786001894.6757247,Emma,Logout,15.88,73.59
1786001894.6757274,Emma,Logout,48.96,78.21
1786001894.67573,Bob,Search,38.39,52.73
1786001894.6757324,Charlie,Logout,67.43,80.75
1786001894.6757352,Charlie,View,32.37,46.27
1786001894.6757379,Charlie,Logout,75.18,92.36
1786001894.6757405,Bob,Logout,86.86,89.86
1786001894.6757429,Emma,Search,51.24,74.25
1786001894.6757457,Charlie,Purchase,62.41,66.39
1786001894.6757507,Emma,View,27.17,79.88
1786001894.6757534,Emma,Logout,19.56,85.19
1786001894.6757567,Emma,View,11.15,88.98
1786001894.6757596,Bob,Search,19.24,76.89
1786001894.675762,Bob,View,85.49,35.83
1786001894.6757648,Emma,Logout,69.06,23.5
1786001894.6757684,Bob,Login,70.69,77.63
1786001894.6757722,Bob,Logout,29.05,50.95
1786001894.675775,Charlie,Purchase,81.98,71.07
1786001894.6757774,Alice,View,37.89,91.11
1786001894.6757824,Alice,Login,78.04,47.88
1786001894.6757855,Alice,Purchase,12.13,52.89
1786001894.675788,David,Login,83.93,32.48
1786001894.6757908,Bob,Login,68.19,93.96
1786001894.6757936,Charlie,Purchase,11.98,42.14
1786001894.6757963,Bob,Search,36.48,54.88
1786001894.675799,Bob,View,69.02,29.55
1786001894.6758013,Emma,Login,50.63,30.06
1786001894.6758049,Alice,Search,33.04,65.39
1786001894.6758075,Charlie,Login,61.02,47.57
1786001894.67581,Charlie,View,79.79,61.17
1786001894.6758127,Emma,Search,15.56,47.47
1786001894.675815,Alice,Logout,35.26,81.06
1786001894.6758177,Emma,Login,26.21,42.04
1786001894.6758204,Bob,Logout,49.34,90.95
1786001894.6758249,Emma,Purchase,37.98,36.25
1786001894.675828,David,Purchase,40.47,75.6
1786001894.6758306,David,Search,63.31,50.46
1786001894.675833,David,Login,31.88,65.23
1786001894.6758356,Bob,Search,58.53,24.63
1786001894.6758382,Charlie,Search,51.71,25.53
1786001894.6758409,Bob,View,54.62,94.31
1786001894.6758435,Charlie,View,10.24,32.32
1786001894.6758459,Charlie,Logout,66.38,77.74
1786001894.6758487,Bob,Logout,84.78,34.56
1786001894.675851,Alice,Login,86.33,53.21
1786001894.6758537,Emma,Purchase,56.26,68.43
1786001894.6758564,Bob,Logout,42.61,58.13
1786001894.6758587,Bob,Login,26.54,24.08
1786001894.6758616,Charlie,Purchase,36.25,61.81
1786001894.6758642,David,Purchase,88.06,29.14
1786001894.6758966,Bob,Search,20.14,69.29
1786001894.6759005,Alice,View,61.36,77.26
1786001894.675903,David,View,37.81,76.12
1786001894.6759057,David,Login,43.75,77.44
1786001894.6759083,Alice,Search,65.46,73.4
1786001894.675911,David,Purchase,82.46,69.07
1786001894.6759138,David,View,22.2,57.81
1786001894.6759164,Alice,Search,46.93,54.15
1786001894.675919,Charlie,Purchase,38.22,30.06
1786001894.6759217,Emma,View,87.98,36.96
1786001894.6759243,David,Logout,69.57,77.73
1786001894.6759264,Charlie,Logout,25.45,56.69
1786001894.675929,Alice,Login,21.3,69.28
1786001894.675932,Bob,View,54.57,67.63
1786001894.6759348,Alice,Login,15.99,67.92
1786001894.675937,Bob,Login,43.73,93.47
1786001894.6759396,David,View,19.35,80.59
1786001894.675944,David,View,81.74,80.61
1786001894.675947,David,View,68.86,69.15
1786001894.6759496,Alice,Search,45.92,92.78
1786001894.6759522,Bob,Search,81.09,66.84
1786001894.675955,Alice,Logout,11.19,81.25
1786001894.6759596,Emma,Search,27.31,33.72
1786001894.6759627,Emma,Search,78.15,25.09
1786001894.675965,Charlie,View,58.32,94.4
1786001894.675968,David,Logout,19.58,82.35
1786001894.6759725,Emma,View,51.74,66.15
1786001894.675975,Alice,Search,78.02,26.68
1786001894.675978,Charlie,View,85.57,50.05
1786001894.6759806,Alice,Purchase,35.0,77.64
1786001894.6759834,Alice,Logout,77.22,33.38
1786001894.6759858,Alice,Login,24.94,25.57
1786001894.6759908,Bob,Logout,40.33,39.4
1786001894.6759942,Alice,Search,35.66,31.65
1786001894.6759968,Charlie,Login,64.12,51.96
1786001894.6759992,Alice,Purchase,51.11,68.61
1786001894.6760018,David,Logout,36.69,31.43
1786001894.6760042,Emma,Purchase,58.62,57.68
1786001894.6760066,Charlie,View,33.82,61.71
1786001894.6760092,Charlie,Purchase,43.83,39.86
1786001894.6760118,Charlie,Purchase,64.49,59.72
1786001894.6760144,David,Purchase,35.25,22.66
1786001894.6760168,Bob,Search,85.06,91.1
1786001894.6760194,Bob,Purchase,67.58,54.03
1786001894.6760223,Emma,Purchase,14.38,51.56
1786001894.676025,Alice,View,55.16,40.42
1786001894.6760275,Alice,View,63.71,59.87
1786001894.6760302,Bob,Purchase,86.07,65.55
1786001894.6760328,Charlie,Purchase,60.54,87.6
1786001894.6760354,Alice,Logout,15.46,22.71
1786001894.6760378,Bob,Login,68.87,42.71
1786001894.6760404,Emma,Search,22.88,91.11
1786001894.676043,David,View,24.99,29.99
1786001894.6760461,Charlie,Purchase,35.79,68.04
1786001894.6760483,David,Logout,36.8,72.8
1786001894.6760511,David,Search,17.64,59.23
1786001894.6760547,David,Login,37.29,75.61
1786001894.6760573,Alice,Login,12.12,52.0
1786001894.67606,Bob,Logout,81.27,41.36
1786001894.6760628,Bob,Purchase,37.9,29.05
1786001894.6760652,Charlie,View,67.93,76.81
1786001894.6760685,Bob,Search,12.71,69.64
1786001894.6760714,Emma,Logout,70.77,35.94
1786001894.676074,David,Purchase,38.22,57.62
1786001894.676078,Alice,View,58.89,72.77
1786001894.6760814,Alice,Login,44.89,55.92
1786001894.6760843,Charlie,View,64.14,42.25
1786001894.6760874,David,Login,63.25,24.03
1786001894.67609,David,Search,79.51,45.19
1786001894.6760948,Alice,Logout,65.84,55.77
1786001894.6760979,Emma,Purchase,76.22,81.9
1786001894.6761005,Emma,Search,40.86,59.75
1786001894.6761034,Bob,Search,74.63,46.0
1786001894.676106,Alice,View,35.89,24.3
1786001894.6761088,Emma,Logout,31.39,69.73
1786001894.6761115,Charlie,Logout,86.32,58.28
1786001894.6761138,David,Login,15.06,52.71
1786001894.6761165,Emma,Login,85.03,71.49
1786001894.676119,Bob,Purchase,29.32,92.2
1786001894.676122,Alice,View,60.91,80.87
1786001894.6761243,Bob,Login,26.72,25.0
1786001894.6761274,Bob,Logout,37.15,25.91
1786001894.6761303,Emma,Search,63.5,79.61
1786001894.676133,Bob,Purchase,85.64,56.94
1786001894.6761355,Bob,Search,17.59,69.41
1786001894.6761382,Charlie,View,17.05,85.78
1786001894.676143,Alice,Search,74.71,76.05
1786001894.676146,David,View,83.77,41.24
1786001894.6761487,Charlie,Logout,14.89,73.09
1786001894.6761515,Charlie,Logout,59.19,54.5
1786001894.6761544,Alice,Purchase,34.4,63.1
1786001894.6761572,Alice,Purchase,50.89,77.38
1786001894.6761599,David,Search,13.06,70.54
1786001894.6761622,Bob,View,31.96,58.25
1786001894.6761646,Emma,Logout,44.44,82.17
1786001894.6761675,Bob,Search,66.23,43.96
1786001894.676172,Emma,Search,13.17,24.28
1786001894.6761749,David,Purchase,18.96,73.08
1786001894.6761775,David,Purchase,69.52,80.55
1786001894.676181,Alice,Purchase,78.17,54.9
1786001894.6761837,Alice,Purchase,46.43,34.85
1786001894.6761866,Emma,Search,71.01,40.82
1786001894.676189,Charlie,View,87.38,36.15
1786001894.676192,David,Login,72.7,52.79
1786001894.676195,David,Purchase,63.09,79.2
1786001894.6761975,Alice,Search,68.35,78.28
1786001894.6762002,Charlie,Logout,34.69,28.36
1786001894.6762028,Charlie,Search,48.37,71.16
1786001894.6762056,Charlie,Purchase,87.66,67.06
1786001894.6762092,Emma,Logout,41.79,51.8
1786001894.6762123,Charlie,Logout,23.06,29.1
1786001894.6762154,Emma,View,19.75,68.5
1786001894.6762202,Bob,Logout,40.8,85.42
1786001894.6762233,Alice,Logout,41.47,22.87
1786001894.676226,Emma,Logout,36.56,84.1
1786001894.6762288,Charlie,Purchase,57.33,52.47
1786001894.6762316,Bob,Purchase,19.57,27.18
1786001894.6762342,Alice,Logout,85.78,39.6
1786001894.676237,Charlie,Logout,77.87,82.09
1786001894.6762397,David,Login,78.91,84.36
1786001894.676242,Emma,Logout,36.84,33.01
1786001894.6762447,Charlie,Logout,55.17,28.82
1786001894.6762474,Alice,Purchase,53.14,73.04
1786001894.6762497,David,Search,47.77,23.51
1786001894.6762524,Bob,View,75.73,74.94
1786001894.676255,David,View,60.85,73.85
1786001894.676258,Alice,Search,49.43,35.4
1786001894.6762624,Bob,Login,23.86,83.56
1786001894.6762655,David,Logout,36.18,76.01
1786001894.6762686,Bob,Search,61.31,30.69
1786001894.6762712,Charlie,Purchase,56.34,28.04
1786001894.6762736,David,Login,77.3,32.15
1786001894.6762762,Alice,View,34.41,83.06
1786001894.6762788,Emma,View,50.06,26.59
1786001894.6762815,Alice,Logout,47.17,24.1
1786001894.6762838,David,Login,50.5,49.8
1786001894.6762867,Emma,Logout,80.92,94.61
1786001894.6762893,Bob,Logout,53.79,29.33
1786001894.6762915,Alice,Purchase,58.81,85.73
1786001894.6762943,Emma,Search,65.88,71.95
1786001894.6762972,David,View,73.07,80.59
1786001894.6763003,Bob,Login,35.02,44.36
1786001894.676303,Emma,Login,14.93,55.64
1786001894.6763058,Alice,Logout,43.56,67.33
1786001894.6763084,Emma,Logout,53.93,51.34
1786001894.6763108,Emma,Purchase,38.44,29.86
1786001894.6763134,David,Logout,56.17,90.95
1786001894.6763165,Alice,Logout,12.53,72.14
1786001894.6763186,Alice,View,76.34,37.48
1786001894.6763213,Charlie,Search,85.72,86.29
1786001894.6763258,Bob,Login,42.92,90.51
1786001894.6763287,David,Purchase,44.25,33.89
1786001894.6763313,Charlie,View,48.04,65.51
1786001894.6763341,Alice,Purchase,33.41,66.21
1786001894.6763387,Charlie,Purchase,78.53,65.07
1786001894.676342,Bob,Logout,35.72,75.24
1786001894.6763449,Emma,Login,70.0,46.61
1786001894.6763477,Bob,Search,24.88,84.25
1786001894.67635,Charlie,View,45.04,27.9
1786001894.6763625,Alice,Purchase,80.28,48.58
1786001894.676365,Charlie,Search,68.81,61.03
1786001894.6763675,David,Login,56.1,23.36
1786001894.6763701,Emma,Login,22.72,47.98
1786001894.676373,Emma,Search,55.26,36.02
1786001894.6763756,Alice,Purchase,81.33,21.23
1786001894.6763792,Alice,Logout,11.2,37.06
1786001894.6763816,Bob,Logout,79.63,31.49
1786001894.676385,Charlie,Logout,51.85,89.04
1786001894.6763875,Charlie,Search,32.57,31.97
1786001894.6763902,Emma,Search,52.57,57.06
1786001894.6763933,Charlie,Login,20.39,38.4
1786001894.676396,Bob,Search,72.35,58.58
1786001894.6763983,Bob,Logout,26.85,94.3
1786001894.676401,Bob,Search,47.32,26.67
1786001894.6764038,Emma,Search,54.69,35.82
1786001894.676406,Bob,Login,83.01,74.57
1786001894.6764085,Charlie,Search,13.48,63.08
1786001894.6764114,Charlie,Logout,14.72,20.61
1786001894.676414,Alice,View,34.99,92.39
1786001894.6764164,Emma,View,42.15,65.1
1786001894.6764188,Alice,Login,15.7,30.73
1786001894.6764219,Bob,Logout,45.95,42.97
1786001894.676425,Emma,Login,70.3,62.09
1786001894.6764276,Alice,View,25.21,26.97
1786001894.67643,Alice,Purchase,37.48,61.02
1786001894.6764328,Charlie,Search,12.12,77.83
1786001894.6764355,Alice,Search,12.61,78.47
1786001894.6764386,Charlie,View,25.32,46.13
1786001894.6764412,David,View,89.85,20.45
1786001894.6764436,David,Logout,69.57,61.96
1786001894.6764462,Emma,View,49.3,40.78
1786001894.6764507,Emma,Logout,29.64,23.47
1786001894.6764538,Bob,Logout,47.09,70.86
1786001894.6764567,Alice,Purchase,72.9,20.65
1786001894.6764596,Charlie,Login,84.04,39.57
1786001894.6764622,Bob,View,71.38,60.71
1786001894.6764672,Charlie,Logout,82.34,88.79
1786001894.6764698,Emma,View,34.43,39.86
1786001894.6764727,David,Login,56.82,37.73
1786001894.676475,Emma,Login,46.56,50.34
1786001894.6764777,Bob,Search,71.73,66.52
1786001894.6764803,Charlie,Search,54.6,94.61
1786001894.6764832,David,Purchase,56.62,69.76
1786001894.6764858,Charlie,Search,34.18,82.12
1786001894.6764886,Emma,Search,87.37,25.74
1786001894.6764913,Charlie,Purchase,81.81,55.92
1786001894.676494,Emma,Search,82.37,33.6
1786001894.6764963,Emma,Login,74.16,26.46
1786001894.6764991,David,Purchase,23.04,21.74
1786001894.6765015,Bob,View,17.58,48.01
1786001894.6765046,David,Login,18.12,65.94
1786001894.676508,Charlie,Purchase,67.02,72.32
1786001894.6765108,Alice,Login,75.97,31.16
1786001894.6765134,Bob,Logout,44.59,81.87
1786001894.6765187,Alice,Search,50.87,60.72
1786001894.6765215,Charlie,Purchase,32.96,42.46
1786001894.6765244,Bob,Logout,67.61,55.07
1786001894.676527,Emma,Purchase,32.96,22.5
1786001894.67653,Bob,Logout,35.07,89.21
1786001894.6765325,David,View,69.07,58.13
1786001894.6765354,Bob,Purchase,66.51,65.32
1786001894.6765385,Bob,Search,58.49,67.07
1786001894.6765409,Emma,Purchase,50.9,25.2
1786001894.6765454,David,Login,18.54,51.12
1786001894.676548,Bob,Search,38.62,39.05
1786001894.6765506,David,Search,65.02,53.31
1786001894.676554,Bob,View,54.06,32.8
1786001894.6765568,Bob,Purchase,47.86,42.55
1786001894.6765597,Bob,Logout,84.36,52.6
1786001894.6765633,Bob,Login,74.46,85.3
1786001894.6765656,David,View,31.04,63.99
1786001894.6765683,Alice,Logout,49.78,21.9
1786001894.6765711,Bob,Logout,71.36,81.84
1786001894.6765738,Alice,Purchase,88.54,57.38
1786001894.6765761,Alice,View,15.36,29.63
1786001894.676579,David,Search,83.68,33.04
1786001894.6765816,Emma,Purchase,42.81,37.62
1786001894.6765845,Bob,Login,33.29,60.52
1786001894.676587,David,Purchase,10.55,90.05
1786001894.6765916,Alice,Login,74.21,39.91
1786001894.676595,Alice,Login,37.39,42.46
1786001894.676598,Charlie,Login,31.24,52.84
1786001894.6766002,Alice,Search,40.69,71.7
1786001894.6766033,David,Search,18.42,46.39
1786001894.676606,Emma,Login,38.6,44.3
1786001894.6766086,Charlie,Login,11.58,64.53
1786001894.6766117,Alice,View,80.43,79.64
1786001894.6766143,Alice,Search,56.03,21.13
1786001894.6766171,Charlie,Search,15.13,57.31
1786001894.6766195,Alice,Login,56.73,63.27
1786001894.6766222,Bob,View,59.67,75.59
1786001894.6766245,David,Purchase,78.02,33.12
1786001894.6766274,Bob,View,67.57,79.34
1786001894.67663,Charlie,View,68.16,24.54
1786001894.6766386,Emma,Purchase,15.28,34.7
1786001894.6766412,Alice,Purchase,69.23,65.37
1786001894.6766443,Charlie,Login,10.91,54.1
1786001894.676647,Bob,Purchase,34.02,69.25
1786001894.6766498,David,Login,69.92,32.28
1786001894.6766522,David,View,43.04,76.48
1786001894.676655,Alice,View,38.4,70.86
1786001894.6766574,Alice,Purchase,11.73,50.46
1786001894.6766603,Alice,View,21.55,69.67
1786001894.6766627,Alice,Login,74.69,47.78
1786001894.6766655,David,Login,46.41,79.56
1786001894.6766682,Charlie,Logout,87.89,29.03
1786001894.6766708,Alice,Logout,43.3,57.98
1786001894.6766732,Emma,Logout,35.61,27.99
1786001894.676676,Charlie,View,69.31,83.97
1786001894.6766787,Alice,Purchase,44.22,72.69
1786001894.6766813,Alice,Search,21.26,72.82
1786001894.6766834,Charlie,Login,33.82,46.71
1786001894.6766863,David,Search,86.64,41.23
1786001894.676689,Bob,Login,43.78,27.12
1786001894.6766918,Charlie,Search,49.42,86.16
1786001894.6766942,Alice,Logout,37.98,77.43
1786001894.6766968,Alice,View,41.95,41.0
1786001894.676705,Charlie,Logout,68.47,75.08
1786001894.6767075,Alice,Purchase,41.88,21.69
1786001894.6767104,Bob,Login,62.59,86.68
1786001894.6767128,David,View,29.14,64.88
1786001894.6767156,Bob,Purchase,30.09,61.51
1786001894.6767235,Emma,Search,80.48,85.27
1786001894.676726,Charlie,Login,56.18,28.98
1786001894.6767285,Bob,Logout,38.17,80.94
1786001894.676731,Alice,View,35.88,25.48
1786001894.6767352,Emma,View,65.53,77.94
1786001894.676739,Charlie,Login,78.41,89.19
1786001894.6767416,Alice,Purchase,49.75,61.75
1786001894.6767442,Bob,Search,27.04,93.88
1786001894.6767468,Alice,Purchase,73.69,61.31
